City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
123,hambantota,20,LK,1554289800,59,6.12,81.12,89.6,8.05
124,abu dhabi,32,AE,1554292800,43,24.47,54.37,98.6,11.41
125,kaitangata,0,NZ,1554294639,88,-46.28,169.85,44.01,7.0
126,new norfolk,20,AU,1554294679,50,-42.78,147.06,51.8,5.82
127,tezu,48,IN,1554294707,77,27.93,96.16,56.93,1.5
128,vardo,1,US,1554294508,74,39.62,-77.74,39.99,8.05
129,dutlwe,0,BW,1554294707,40,-23.98,23.93,86.0,15.03
130,dikson,56,RU,1554294707,99,73.51,80.55,23.81,19.62
131,mao,40,DO,1554294665,94,19.55,-71.08,81.0,5.97
132,sobolevo,0,RU,1554294708,66,54.43,31.9,49.64,6.42
133,vila do maio,40,CV,1554292800,47,15.13,-23.22,80.6,20.8
134,vaini,40,IN,1554292800,15,15.34,74.49,96.8,3.36
135,carnarvon,56,ZA,1554294708,29,-30.97,22.13,80.42,16.49
136,bonavista,20,CA,1554294608,71,48.65,-53.11,37.0,5.99
137,dunedin,0,NZ,1554294635,85,-45.87,170.5,48.99,1.01
138,gat,20,SN,1554292800,50,14.69,-16.54,77.0,19.46
139,shemgang,68,BT,1554294710,88,27.22,90.66,59.27,0.72
140,jeremie,24,HT,1554294710,100,18.65,-74.12,77.18,8.99
141,bam,48,IR,1554294710,22,29.11,58.36,80.42,6.42
142,yining,64,CN,1554294710,94,29.04,114.56,51.53,2.17
143,matagami,0,NG,1554294711,23,9.67,8.4,97.43,4.18
144,itupiranga,40,BR,1554292800,94,-5.13,-49.33,82.4,4.7
145,wilmington,1,US,1554294454,80,39.75,-75.55,43.0,5.82
146,artesia,1,US,1554294053,28,32.84,-104.4,55.4,16.11
147,saint george,75,GR,1554294199,48,39.45,22.34,64.0,4.7
148,fortuna,20,ES,1554294678,31,38.18,-1.13,73.4,3.36
149,huarmey,68,PE,1554294712,91,-10.07,-78.15,66.2,3.06
150,viedma,0,AR,1554294713,60,-40.81,-62.99,57.11,14.25
151,esperance,40,TT,1554294686,83,10.24,-61.45,82.0,12.75
152,faanui,24,PF,1554294713,100,-16.48,-151.75,84.29,8.77
153,pangnirtung,90,CA,1554292800,84,66.15,-65.72,3.2,3.36
154,chicama,75,PE,1554292800,93,-7.84,-79.15,66.2,3.36
155,katsuura,20,JP,1554293052,46,33.93,134.5,50.0,6.93
156,grindavik,75,IS,1554292800,75,63.84,-22.43,42.8,28.86
157,huilong,36,CN,1554294714,89,28.89,110.18,50.99,3.85
158,honiara,64,SB,1554294714,99,-9.43,159.96,75.47,0.72
159,pevek,0,RU,1554294715,53,69.7,170.27,13.01,4.97
160,cody,40,US,1554294686,92,44.53,-109.06,39.99,4.7
161,vila velha,90,BR,1554294490,94,-3.71,-38.6,75.2,2.24
162,babu,56,CN,1554294715,91,23.23,104.89,61.16,2.73
163,jacksonville beach,1,US,1554294693,100,30.29,-81.39,55.99,5.3
164,melfi,40,IT,1554292500,45,41.0,15.66,66.2,6.93
165,buraydah,0,SA,1554292800,23,26.33,43.97,86.0,11.41
166,champerico,5,MX,1554292140,93,16.38,-93.6,60.8,2.24
167,xuanzhou,20,CN,1554294716,60,30.95,118.78,56.39,9.22
168,zarubino,12,RU,1554294717,69,42.65,131.06,40.64,6.2
169,isangel,44,VU,1554294588,99,-19.55,169.27,81.23,12.91
